,reward,performance,loss,episode,reward_smooth,performance_smooth
166,-79.0,-79.0,0.0,166.0,-41.94,-47.29
167,-34.0,-44.0,0.0,167.0,-41.99,-47.39
168,-23.0,-28.0,6.0,168.0,-41.38,-46.83
169,-74.0,-74.0,0.0,169.0,-41.81,-47.21
170,-28.0,-33.0,0.0,170.0,-41.25,-46.6
171,-30.0,-40.0,0.0,171.0,-40.72,-46.17
172,-33.0,-43.0,0.0,172.0,-40.8,-46.35
173,-81.0,-81.0,1607.2338953320677,173.0,-40.82,-46.37
174,-78.0,-78.0,0.0,174.0,-40.77,-46.27
175,-27.0,-37.0,0.0,175.0,-40.81,-46.41
176,-86.0,-86.0,4424.56363602,176.0,-40.89,-46.44
177,-26.0,-36.0,5.0,177.0,-40.79,-46.34
178,-83.0,-83.0,0.0,178.0,-40.89,-46.44
179,-29.0,-29.0,1.0,179.0,-40.89,-46.34
180,-34.0,-39.0,6.0,180.0,-41.66,-47.01
181,-81.0,-81.0,0.0,181.0,-41.62,-46.97
182,-77.0,-77.0,0.0,182.0,-42.02,-47.37
183,-29.0,-39.0,0.0,183.0,-42.01,-47.41
184,-27.0,-32.0,0.0,184.0,-41.9,-47.3
185,-23.0,-28.0,0.0,185.0,-41.87,-47.22
186,-31.0,-31.0,0.0,186.0,-41.85,-47.1
187,-31.0,-36.0,10.0,187.0,-41.83,-47.03
188,-83.0,-88.0,0.0,188.0,-41.81,-47.01
189,-29.0,-39.0,1.0,189.0,-41.84,-47.04
190,-25.0,-25.0,0.0,190.0,-41.76,-46.86
191,-32.0,-42.0,0.0,191.0,-41.28,-46.48
192,-35.0,-40.0,9.0,192.0,-41.38,-46.53
193,-75.0,-80.0,0.0,193.0,-41.85,-47.05
194,-34.0,-39.0,26.0,194.0,-41.96,-47.11
195,-28.0,-33.0,8618.088419024252,195.0,-41.98,-47.08
196,-82.0,-82.0,1995.890596851601,196.0,-41.98,-47.08
197,-29.0,-34.0,0.0,197.0,-42.0,-47.05
198,-79.0,-79.0,0.0,198.0,-42.51,-47.56
199,-82.0,-82.0,0.0,199.0,-43.03,-48.03
200,-31.0,-41.0,0.0,200.0,-43.09,-48.09
201,-30.0,-40.0,0.0,201.0,-43.02,-48.02
202,-31.0,-41.0,0.0,202.0,-43.04,-48.04
203,-29.0,-39.0,0.0,203.0,-42.54,-47.59
204,-31.0,-31.0,21.0,204.0,-42.6,-47.6
205,-28.0,-38.0,0.0,205.0,-42.6,-47.7
206,-27.0,-37.0,0.0,206.0,-42.65,-47.8
207,-29.0,-39.0,0.0,207.0,-42.61,-47.81
208,-80.0,-90.0,8789.05747204,208.0,-42.64,-47.89
209,-30.0,-35.0,18.0,209.0,-42.6,-47.8
210,-74.0,-74.0,0.0,210.0,-43.13,-48.28
211,-25.0,-30.0,0.0,211.0,-43.08,-48.28
212,-31.0,-41.0,0.0,212.0,-43.17,-48.37
213,-31.0,-41.0,0.0,213.0,-43.2,-48.4
214,-32.0,-42.0,10.0,214.0,-43.26,-48.46
215,-22.0,-22.0,21506.842149599055,215.0,-43.24,-48.34
216,-32.0,-42.0,4436.56363602,216.0,-43.19,-48.39
217,-78.0,-83.0,4516.4002,217.0,-43.63,-48.83
218,-77.0,-77.0,1590.2338953320677,218.0,-43.75,-48.95
219,-76.0,-76.0,0.0,219.0,-44.27,-49.37
220,-81.0,-91.0,6122.430871677456,220.0,-44.84,-49.94
221,-86.0,-86.0,0.0,221.0,-45.43,-50.53
222,-24.0,-34.0,0.0,222.0,-45.35,-50.45
223,-36.0,-36.0,0.0,223.0,-45.47,-50.57
224,-27.0,-37.0,0.0,224.0,-44.94,-50.14
225,-34.0,-44.0,0.0,225.0,-44.53,-49.83
226,-29.0,-39.0,7.0,226.0,-44.51,-49.81
227,-70.0,-70.0,0.0,227.0,-44.94,-50.19
228,-84.0,-89.0,0.0,228.0,-45.58,-50.78
229,-80.0,-85.0,0.0,229.0,-46.1,-51.3
230,-22.0,-27.0,0.0,230.0,-46.03,-51.28
231,-67.0,-67.0,0.0,231.0,-46.36,-51.56
232,-36.0,-36.0,0.0,232.0,-46.44,-51.54
233,-87.0,-87.0,0.0,233.0,-47.05,-52.05
234,-29.0,-34.0,6.0,234.0,-47.06,-52.01
235,-33.0,-33.0,7.0,235.0,-47.12,-52.02
236,-32.0,-32.0,0.0,236.0,-46.63,-51.48
237,-32.0,-32.0,0.0,237.0,-46.18,-51.03
238,-80.0,-80.0,0.0,238.0,-46.62,-51.47
239,-35.0,-35.0,0.0,239.0,-46.72,-51.57
240,-28.0,-28.0,31145.77121701087,240.0,-46.21,-51.06
241,-24.0,-34.0,0.0,241.0,-46.11,-50.96
