,reward,performance,loss,episode,episode_smooth,reward_smooth,performance_smooth,loss_smooth
150,-33.0,-43.0,4153.083169341484,150.0,100.5,-30.61,-37.61,2436.9230189262134
151,-17.0,-27.0,0.0,151.0,101.5,-29.93,-37.03,2436.9230189262134
152,26.0,21.0,2413.0,152.0,102.5,-29.39,-36.49,2423.2417902442826
153,-19.0,-29.0,0.0,153.0,103.5,-29.28,-36.38,2336.530773373672
154,-17.0,-27.0,0.0,154.0,104.5,-29.24,-36.34,2023.6189085194087
155,-16.0,-26.0,0.0,155.0,105.5,-29.1,-36.2,2023.6189085194087
156,-77.0,-87.0,6330.7299267659655,156.0,106.5,-29.52,-36.67,1870.5362672309839
157,-23.0,-33.0,0.0,157.0,107.5,-28.99,-36.24,1870.5362672309839
158,-12.0,-22.0,0.0,158.0,108.5,-28.31,-35.61,1758.2131860466006
159,-11.0,-21.0,0.0,159.0,109.5,-28.1,-35.4,1758.2131860466006
160,-20.0,-25.0,0.0,160.0,110.5,-28.01,-35.31,1758.1531860466007
161,-26.0,-31.0,0.0,161.0,111.5,-28.0,-35.35,1733.9631860466006
162,-71.0,-71.0,6111.576628165754,162.0,112.5,-28.51,-35.76,1795.0789523282583
163,-25.0,-35.0,3.0,163.0,113.5,-28.45,-35.7,1599.625145128373
164,-20.0,-25.0,0.0,164.0,114.5,-28.42,-35.62,1599.5751451283732
165,-24.0,-34.0,139.3269911564567,165.0,115.5,-28.42,-35.62,1600.9384150399376
166,-30.0,-40.0,0.0,166.0,116.5,-27.88,-35.18,1600.9384150399376
167,-23.0,-23.0,21.0,167.0,117.5,-27.88,-35.08,1601.1484150399376
168,-11.0,-21.0,0.0,168.0,118.5,-27.75,-35.0,1601.1384150399376
169,-6.0,-6.0,1.0,169.0,119.5,-27.54,-34.69,1601.1484150399376
170,-14.0,-19.0,0.0,170.0,120.5,-27.4,-34.5,1601.1484150399376
171,-25.0,-35.0,0.0,171.0,121.5,-27.38,-34.48,1514.9028018828058
172,-23.0,-33.0,0.0,172.0,122.5,-27.4,-34.5,1514.9028018828058
173,-21.0,-31.0,23.0,173.0,123.5,-26.88,-33.98,1235.4098819371156
174,-9.0,-19.0,0.0,174.0,124.5,-26.18,-33.28,1149.4134515998835
175,-22.0,-32.0,120.27076230600522,175.0,125.5,-25.57,-32.72,1150.6161592229435
176,-19.0,-29.0,5.0,176.0,126.5,-25.49,-32.69,1150.6661592229436
177,-30.0,-35.0,27.0,177.0,127.5,-25.51,-32.71,1150.9361592229436
178,-21.0,-31.0,5.0,178.0,128.5,-25.4,-32.65,1095.0410845807878
179,-19.0,-24.0,0.0,179.0,129.5,-24.78,-32.03,1077.8347064447016
180,-21.0,-26.0,0.0,180.0,130.5,-24.71,-31.91,1010.8740020591471
181,-18.0,-28.0,0.0,181.0,131.5,-24.71,-31.91,1010.844002059147
182,-15.0,-20.0,3.0,182.0,132.5,-24.08,-31.33,1010.8740020591471
183,-12.0,-17.0,0.0,183.0,133.5,-23.9,-31.15,958.0955608120208
184,-15.0,-25.0,0.0,184.0,134.5,-24.32,-31.67,933.7655608120208
185,-22.0,-32.0,0.0,185.0,135.5,-23.63,-31.08,873.4212218267551
186,-19.0,-29.0,0.0,186.0,136.5,-23.53,-30.98,873.4212218267551
187,-9.0,-19.0,0.0,187.0,137.5,-23.35,-30.8,873.4212218267551
188,-26.0,-36.0,0.0,188.0,138.5,-23.34,-30.79,873.4212218267551
189,-9.0,-14.0,0.0,189.0,139.5,-23.12,-30.52,848.674549054171
190,-17.0,-27.0,1590.2338953320677,190.0,140.5,-23.08,-30.48,864.5768880074918
191,-12.0,-22.0,0.0,191.0,141.5,-22.96,-30.36,864.5768880074918
192,-22.0,-27.0,8.0,192.0,142.5,-22.39,-29.84,820.2148879755467
193,-37.0,-47.0,4340.760027914364,193.0,143.5,-22.51,-29.96,863.5824882546904
194,-19.0,-29.0,0.0,194.0,144.5,-22.47,-30.02,863.4924882546904
195,-19.0,-24.0,2.048585496099429,195.0,145.5,-22.43,-30.03,862.7139002777565
196,-22.0,-27.0,3.0,196.0,146.5,-22.47,-30.12,862.7339002777564
197,-8.0,-8.0,0.0,197.0,147.5,-22.37,-29.92,862.7339002777564
198,-15.0,-25.0,0.0,198.0,148.5,-22.28,-29.88,862.7339002777564
199,-15.0,-25.0,0.0,199.0,149.5,-22.12,-29.72,862.7339002777564
200,-11.0,-11.0,2257.2001,200.0,150.5,-22.04,-29.59,885.3059012777564
201,48.0,33.0,2404.0,201.0,151.5,-21.33,-28.98,909.3359012777565
202,-19.0,-29.0,0.0,202.0,152.5,-21.3,-29.0,817.9958629175563
203,-15.0,-25.0,0.0,203.0,153.5,-21.31,-29.01,817.9958629175563
204,-20.0,-30.0,0.0,204.0,154.5,-21.22,-28.92,817.9958629175563
205,-18.0,-23.0,3.0,205.0,155.5,-21.16,-28.86,785.0826922708209
206,-20.0,-30.0,0.0,206.0,156.5,-21.09,-28.79,785.0826922708209
207,-18.0,-18.0,15.0,207.0,157.5,-21.04,-28.69,785.2326922708208
208,-4.0,-14.0,0.0,208.0,158.5,-20.9,-28.65,785.2026922708209
209,-18.0,-28.0,0.0,209.0,159.5,-20.91,-28.66,785.2026922708209
210,-15.0,-25.0,0.0,210.0,160.5,-20.85,-28.6,785.2026922708209
211,-15.0,-20.0,0.0,211.0,161.5,-20.76,-28.46,785.1826922708209
212,-8.0,-13.0,0.0,212.0,162.5,-20.57,-28.27,785.1826922708209
213,-12.0,-22.0,0.0,213.0,163.5,-20.51,-28.21,719.744935730521
214,-7.0,-12.0,0.0,214.0,164.5,-20.49,-28.14,719.744935730521
215,-18.0,-28.0,0.0,215.0,165.5,-20.47,-28.12,675.499299370321
216,-16.0,-26.0,0.0,216.0,166.5,-20.48,-28.13,675.499299370321
217,47.0,32.0,7203.093465101207,217.0,167.5,-19.85,-27.55,747.5302340213331
218,-14.0,-24.0,2077.039698851601,218.0,168.5,-19.83,-27.53,768.300631009849
219,-11.0,-21.0,0.0,219.0,169.5,-19.71,-27.41,768.300631009849
220,-8.0,-18.0,0.0,220.0,170.5,-18.98,-26.78,768.300631009849
221,-10.0,-10.0,4105.083169341484,221.0,171.5,-18.85,-26.55,788.5410657147478
222,-14.0,-24.0,0.0,222.0,172.5,-18.66,-26.36,703.5878737491998
223,-9.0,-19.0,0.0,223.0,173.5,-18.61,-26.31,703.5878737491998
224,-14.0,-24.0,0.0,224.0,174.5,-18.53,-26.33,681.6254225736358
225,-10.0,-20.0,0.0,225.0,175.5,-18.3,-26.15,681.3726493523002
226,-10.0,-20.0,0.0,226.0,176.5,-18.25,-26.15,681.3726493523002
227,-8.0,-18.0,0.0,227.0,177.5,-18.02,-25.97,619.691090665428
228,-19.0,-29.0,0.0,228.0,178.5,-18.04,-25.99,619.691090665428
229,-10.0,-10.0,11.0,229.0,179.5,-17.91,-25.86,619.8010906654279
230,-7.0,-17.0,0.0,230.0,180.5,-17.75,-25.7,619.7710906654279
231,-7.0,-17.0,0.0,231.0,181.5,-17.77,-25.77,619.7710906654279
232,-15.0,-25.0,25.071584682814013,232.0,182.5,-17.66,-25.71,619.881806512256
233,-26.0,-36.0,2.048585496099429,233.0,183.5,-17.76,-25.81,619.892292367217
234,-11.0,-21.0,15.0,234.0,184.5,-17.77,-25.82,620.042292367217
235,-7.0,-17.0,0.0,235.0,185.5,-17.62,-25.67,619.982292367217
236,-17.0,-27.0,0.0,236.0,186.5,-17.01,-25.11,619.982292367217
237,-8.0,-18.0,0.0,237.0,187.5,-16.88,-24.98,619.9622923672171
238,-11.0,-21.0,0.0,238.0,188.5,-16.8,-24.95,619.9622923672171
239,-11.0,-21.0,0.0,239.0,189.5,-16.73,-24.93,619.9622923672171
